u,g,r,i,z,redshift
23.85098,22.32872,20.9212,20.00255,19.52442,0.5049798
21.88753,21.64339,21.51958,21.86776,21.91567,0.0129316
22.86683,22.90668,21.16321,19.77472,19.40796,0.6495835
23.94201,21.64119,20.4921,19.66261,19.35313,0.5908269
18.98516,17.34394,16.56421,16.20214,15.89514,0.02013018
18.86904,17.33856,16.6038,16.20782,15.95463,0.08185956
19.43545,17.93626,17.13148,16.72516,16.40298,0.08919691
24.10483,23.76773,21.9227,20.57549,19.68316,0.725993
25.49442,21.68591,20.01934,19.14583,18.78275,0.4950394
23.61333,22.10288,20.2135,19.30401,18.67311,0.5024474
22.64933,20.86569,19.95803,19.5724,19.12731,0.09752622
23.76784,22.90275,21.13334,19.95488,19.42675,0.6071722
23.66544,21.82942,20.07822,19.24685,18.86833,0.4606665
25.18559,22.54041,20.97248,19.96778,19.44798,0.585405
24.75162,22.65071,21.27908,20.23658,19.47945,0.5407062
22.7722,20.43802,18.84529,18.22345,17.83413,0.2961533
22.64723,20.94764,19.41917,18.8487,18.56115,0.305647
18.49069,18.0791,18.03934,17.66487,17.99057,0.09905367
25.49627,22.50939,20.95074,19.89563,19.31838,0.6523193
18.71709,16.68054,15.72432,15.28335,14.94289,0.0817799
22.39298,21.94659,20.56364,19.80892,19.78198,0.6025966
23.71852,23.42159,21.06581,19.8265,19.09418,0.624424
24.66489,22.32919,20.64038,19.7849,19.40656,0.4520902
25.0825,22.09985,20.19817,19.30379,18.60932,0.5391683
22.53779,21.82743,20.85481,19.8073,19.04399,0.7422971
19.16173,17.70902,16.97973,16.59971,16.327,0.08806665
21.91942,21.41624,20.64714,19.82661,19.50936,0.580314
22.97491,22.04099,20.25553,19.40389,18.85654,0.5414596
23.41459,21.52198,19.9889,19.07776,18.55759,0.5247762
19.72742,18.4175,17.74107,17.35452,17.11783,0.132967
25.63057,23.15524,21.40502,20.35188,19.6767,0.6536729
19.0535,17.68436,16.94936,16.5463,16.24973,0.131236
23.24652,23.64057,22.03416,20.38918,23.02182,0.2833855
23.32893,20.71346,18.81694,18.17518,17.70987,0.3554933
24.12785,22.46222,21.11654,20.17359,19.78018,0.3953151
20.31026,18.52072,17.44175,16.88471,16.45945,0.124394
19.2723,17.28528,16.29763,15.89044,15.52971,0.09792546
22.04181,22.28613,21.85151,21.55171,22.79009,0.07002574
19.8118,18.33955,17.65051,17.31983,17.05992,0.1621091
20.47603,18.63272,17.63058,17.16108,16.79741,0.1437633
26.83182,22.51903,20.74764,19.62352,19.29872,0.6313781
19.58351,18.307,17.55432,17.1507,16.87822,0.1388665
18.21078,17.01647,16.61431,16.38274,16.33875,0.03112363
23.65146,22.70678,20.69274,19.44372,18.84867,0.6687653
19.66282,18.3277,17.5725,17.09847,16.79785,0.06025022
24.44333,21.57279,20.05094,19.26199,18.70857,0.3940141
23.5365,22.82364,21.79726,20.95314,21.20784,0.5515397
24.37253,22.04249,20.37338,19.75618,19.36231,0.4105153
23.72216,22.68267,21.25725,19.94914,19.18218,0.6562622
22.13678,20.4018,18.60537,17.99866,17.50467,0.3333696
23.41295,22.21544,20.22015,19.36329,18.97088,0.4486186
22.25036,21.744,20.06245,19.1122,18.6554,0.5572587
20.01242,18.41632,17.75452,17.37166,17.08978,0.07470006
21.69088,20.58606,18.86243,18.27062,17.86426,0.405037
18.93981,17.26571,16.36699,15.88269,15.52176,0.06031544
19.89182,17.86359,16.71941,16.21463,15.79613,0.124316
24.72185,21.53489,19.78205,19.09266,18.62971,0.2597129
20.59237,18.22011,16.87237,16.36202,16.08219,0.2188129
24.06177,22.03394,20.20461,19.13837,18.47593,0.5485017
24.80666,23.82722,21.37827,20.21617,19.59908,0.6446907
25.49704,22.66205,21.19126,20.11374,19.45301,0.5111138
18.50465,17.88639,17.69642,17.38303,17.41173,0.1056686
22.99156,21.98523,20.46443,19.48753,19.19727,0.4667077
20.40665,18.43211,17.45365,17.01959,16.66479,0.1161023
19.32045,17.40391,16.4832,16.05353,15.70895,0.05819335
20.28365,18.78819,18.2776,17.89518,17.7027,0.09756941
23.02685,21.21514,19.43206,18.60176,18.0582,0.4457436
19.4301,17.75789,16.91805,16.51355,16.20284,0.08149272
23.59965,21.58764,19.95899,19.15542,18.67127,0.4711015
25.26176,22.10741,20.39272,19.38543,18.95618,0.5270289
23.38771,22.37646,20.58309,19.56087,19.21497,0.5428544
23.71818,22.92858,22.22134,20.3488,20.22439,0.7665219
26.82022,21.79404,20.5654,19.59481,19.22437,0.5270074
19.73132,17.51002,16.39967,15.94477,15.58448,0.1335346
24.14642,21.43071,20.20021,19.36941,19.01738,0.5601001
25.45575,22.33834,20.9911,19.75507,19.13252,0.7734714
19.06687,18.04725,17.50876,17.15615,16.95123,0.1300338
22.89977,21.67736,20.26563,19.34356,18.77853,0.5499076
23.91697,22.55824,21.17331,20.12249,19.42035,0.5574463
18.08182,16.40516,15.61448,15.17521,14.85927,0.06064306
18.49344,16.91171,16.01138,15.5017,15.11791,0.07842979
25.96556,23.12857,21.40281,20.30654,19.58363,0.657568
19.50069,17.4236,16.53175,16.09165,15.86524,0.08288758
23.82398,21.75976,20.34333,19.51949,19.02017,0.5237113
23.51512,21.67279,20.05348,19.25385,18.97968,0.4391628
19.31312,17.59047,16.71713,16.28831,16.00516,0.08424968
22.67798,21.50582,19.95579,19.17343,18.71073,0.4440374
20.09082,18.5352,17.70898,17.33368,17.02567,0.07141046
18.46657,16.59985,15.65318,15.14989,14.68322,0.03804831
19.98974,18.42702,17.56436,17.05227,16.67429,0.0921118
23.07218,22.29809,20.79694,19.92889,19.43925,0.5283846
17.89386,16.11245,15.34051,15.00042,14.70411,0.09642068
24.60294,22.60737,20.42151,19.11737,18.8226,0.5881991
20.21312,18.31372,17.33307,16.86298,16.50037,0.09288623
18.11115,16.53094,15.67091,15.23422,14.87831,0.1061958
20.70354,18.72231,17.65706,17.20918,16.81936,0.1311559
25.70719,20.97977,19.18584,18.43619,18.03027,0.4598066
19.69106,17.71071,16.61954,16.15718,15.81648,0.1513453
17.64924,16.49497,16.07693,15.8102,15.66839,0.03966612
19.54414,18.32205,17.31414,16.84672,16.53323,0.2224094
23.27514,23.36436,21.84183,20.62008,20.19613,0.6463181
19.57485,17.80504,16.76533,16.2564,15.89275,0.1410736
17.68562,16.21163,15.54412,15.15459,14.86991,0.04742543
24.75507,22.31698,20.93365,20.14632,19.67897,0.4470545
19.44475,18.22838,17.58501,17.20427,16.93722,0.1269461
18.3487,16.56643,15.71013,15.33806,15.03524,0.08317761
23.75065,21.97201,20.52423,19.29388,18.90499,0.583773
23.90431,22.78755,20.79662,19.92155,19.14371,0.6031657
17.05424,15.56767,14.90774,14.53095,14.28518,0.06192431
19.28462,18.15754,17.5493,17.1875,16.96003,0.1517965
19.80651,17.97992,17.14468,16.75455,16.41967,0.04232889
22.13144,21.04081,19.81906,19.41955,19.24524,0.2482088
22.16746,21.30772,20.26351,19.44548,19.03626,0.6322535
20.84347,18.613,17.37907,16.80939,16.3687,0.1532173
23.85603,22.47175,20.62187,19.66026,19.05722,0.512094
18.91716,17.20417,16.34522,15.90251,15.58279,0.07719435
19.47841,18.30359,17.34458,16.90624,16.64591,0.2101539
23.87942,22.74096,21.43024,20.25228,19.9535,0.5154579
20.209,18.13825,16.99668,16.50987,16.13952,0.157879
17.39736,16.11545,15.52495,15.17717,14.99923,0.07287213
22.17576,21.99784,20.30511,19.34908,18.87108,0.6178927
26.2674,22.31379,20.51276,19.69769,19.36128,0.4509145
24.01377,22.40796,20.86676,19.62419,19.14874,0.5961109
19.87867,17.80488,16.64135,16.16825,15.7715,0.125227
23.51498,20.90257,18.8958,18.0785,17.55682,0.4762199
26.01566,22.05792,20.3407,19.48907,19.03254,0.4874804
17.3818,16.28699,15.86345,15.60879,15.44028,0.03810148
23.23841,21.07478,19.69164,18.62809,18.34633,0.5489395
20.50559,18.48607,17.31686,16.84368,16.45447,0.1546073
21.62307,21.66269,20.11227,19.27282,18.8588,0.5742838
22.81925,22.06732,20.52429,19.3731,18.89224,0.6261203
20.96685,18.66494,18.30285,17.62442,24.14536,0.1537517
20.28678,18.61244,17.51559,17.03694,16.67099,0.2024067
22.62324,21.45821,20.67485,19.77448,19.19366,0.04603851
22.20058,19.98862,18.22307,17.62288,17.24718,0.3403298
18.7569,17.4133,16.80495,16.39171,16.28268,0.1084747
22.18643,19.8975,18.60158,18.12275,17.8137,0.1822708
19.0881,17.75493,17.15038,16.82282,16.57432,0.08544985
22.12278,21.54462,20.11279,19.34004,18.90016,0.5367392
24.8877,21.72773,19.99375,18.97614,18.43967,0.5216325
20.0058,18.1188,17.18003,16.71806,16.39706,0.1823632
20.85163,18.45322,17.01914,16.47153,16.1092,0.2193648
21.27189,19.04059,17.63769,17.11332,16.78031,0.2603649
20.03711,18.1584,17.28183,16.8257,16.5104,0.06240857
19.38695,17.81896,17.00409,16.53639,16.2599,0.06992436
24.98542,22.45744,20.59691,19.33855,18.59563,0.6881217
26.86093,20.89113,19.13587,18.38046,17.80507,0.4138506
26.38721,22.1908,20.40822,19.32073,18.88828,0.5487474
22.54156,20.73239,18.97272,18.29818,17.83772,0.4144616
22.14088,21.61359,19.76816,18.96132,18.51306,0.4669564
23.61516,23.69777,22.30281,20.86641,19.83668,0.8748945
19.7377,18.05974,17.40733,16.99284,16.76559,0.1120263
21.46608,19.44445,17.89332,17.33777,16.99036,0.2654219
23.30482,20.99506,19.1769,18.54003,18.15164,0.3397128
23.25145,22.43799,20.86875,19.88485,19.64007,0.530122
20.28279,17.96944,16.9627,16.56545,16.16561,0.1205768
23.58124,22.76309,21.66068,21.21134,20.88943,0.3116077
25.04457,22.36809,20.67218,19.52583,18.87569,0.6950566
26.08775,23.33409,21.95806,20.66425,19.99302,0.7714253
22.81977,20.79221,19.0476,18.37657,17.86527,0.37544
19.8242,18.16661,17.374,16.95294,16.68089,0.08531589
25.89512,22.07136,20.64573,19.85837,19.34088,0.4210852
22.26814,19.42219,17.90623,17.37563,17.03765,0.2641742
19.34652,17.49284,16.6798,16.31855,16.01687,0.04520881
18.99152,17.471,16.6255,16.10415,15.79107,0.09091548
22.57347,20.39121,18.79311,18.05226,17.55857,0.2960663
19.89806,18.01023,16.93975,16.47582,16.09128,0.1348605
20.77484,18.6689,17.55013,17.07713,16.67045,0.1279715
22.63462,22.6401,20.37018,19.11619,18.51849,0.7229145
22.39787,21.61136,20.474,19.62581,19.12441,0.5609094
22.1359,21.77008,20.83166,19.76111,19.14944,0.7670076
24.22813,22.69165,20.45935,19.43697,19.02173,0.5322236
23.55778,21.95101,20.43107,19.52622,19.13245,0.5574679
20.35045,18.6087,17.61492,17.21386,16.8635,0.1252593
19.97892,18.37035,17.49778,17.09564,16.76079,0.1024124
22.32094,21.1863,19.49375,18.48701,17.94003,0.535487
22.19386,21.70326,20.58917,19.58848,18.8854,0.6192781
21.83748,20.2107,18.61685,18.05866,17.72011,0.3314984
20.19831,18.33648,17.47336,17.08312,16.75509,0.0827219
19.85677,17.94048,17.33028,16.94342,16.66309,0.06770632
22.49244,21.68562,20.45916,19.73489,19.17771,0.5844404
23.53829,22.19061,20.50577,19.59555,19.23159,0.5335996
25.23443,22.46332,21.11282,19.80701,19.65491,0.65534
24.5785,26.2657,22.51432,21.26847,19.98018,0.645686
19.03568,17.10217,16.21664,15.75258,15.43717,0.05450086
19.60521,18.09684,17.29472,16.89012,16.58844,0.07130479
20.30779,18.17025,17.21215,16.79587,16.4419,0.08365857
23.61078,21.97389,20.6598,19.73776,19.24957,0.5604237
19.55315,17.69362,16.72261,16.30935,15.98058,0.09858389
18.38806,17.26729,16.76876,16.43032,16.30887,0.06713881
23.27914,22.10753,20.52731,19.66613,19.26531,0.4645922
23.57053,22.05915,20.70441,19.89771,19.50142,0.5221282
21.78087,21.62963,19.76428,19.03288,18.61439,0.4337192
20.25107,18.46716,17.19081,16.70152,16.36518,0.2068974
22.699,20.99429,19.22293,18.5934,18.11614,0.3915381
19.31039,18.21644,17.69363,17.51861,17.18712,0.04780856
23.53629,22.56935,20.46402,19.54799,19.05789,0.552456
20.81333,18.70045,17.63068,17.16467,16.7852,0.1246078
22.75217,20.80279,19.80389,19.2746,18.90775,0.2521404
24.96346,20.14915,18.27913,17.59926,17.20294,0.3826952
22.8381,19.77759,18.36418,17.68249,17.24819,0.1813731
23.50239,22.48906,20.91681,19.89504,19.45308,0.5883481
23.68934,21.73804,20.00486,19.35481,18.96305,0.3883558
19.50682,18.34811,17.73306,17.3422,17.11904,0.1423473
20.63281,18.61642,17.61599,17.1702,16.79907,0.1125359
21.06924,18.37634,16.9283,16.35142,15.98641,0.2294039
20.86728,18.73813,17.6132,17.16538,16.80629,0.1522566
18.51735,17.48384,17.06217,16.82633,16.60761,0.03890887
18.82022,17.77765,17.38575,17.11128,16.9354,0.08633461
20.74777,18.76857,17.6009,17.12789,16.759,0.168676
20.09483,18.43499,17.71305,17.39224,17.1363,0.1455106
21.08415,19.00674,17.74447,17.23851,16.89033,0.1922261
24.40577,20.46966,18.58641,17.97859,17.52364,0.3879543
23.90055,22.53365,20.86813,19.97302,19.48823,0.5533286
22.40758,21.98896,20.59526,19.77662,20.24312,0.3551003
25.26877,23.45652,21.85079,20.62781,20.11431,0.7741643
25.61382,21.81741,20.2318,19.35267,18.87639,0.4820904
18.9985,17.85492,17.28891,16.95271,16.75707,0.0812085
23.58369,23.443,22.06594,20.53009,20.16672,0.5520661
22.32603,20.63977,18.7192,18.08809,17.67736,0.3733322
22.68678,21.76539,20.34206,19.39276,18.94706,0.4929163
22.33474,22.8025,21.289,20.03279,19.25608,0.8684766
20.07874,18.69612,17.78497,17.35784,17.08168,0.1629644
20.0248,18.12777,17.19118,16.74505,16.41169,0.08128621
19.90958,18.35621,17.39699,16.96537,16.67216,0.1220537
18.68314,17.3202,16.57447,16.16867,15.89158,0.1032257
24.6803,21.20762,19.18901,18.47636,17.99793,0.3892646
23.8809,23.21214,21.40164,20.09503,19.72938,0.6004177
18.9411,17.78809,17.40729,17.1468,17.02588,0.07623333
25.24815,22.41998,20.66697,19.58758,19.01671,0.5944023
23.08074,20.59497,18.95699,18.30386,17.87591,0.3799873
19.11118,17.95108,17.54824,17.32599,17.16966,0.04106522
23.14883,21.90556,20.32972,19.36579,19.05215,0.4747555
21.85242,21.28725,20.13625,19.40981,18.9894,0.6267465
21.45531,18.8386,17.20434,16.63713,16.25324,0.2743216
23.78055,22.3778,20.64963,19.74602,19.22062,0.5451815
19.76295,18.22811,17.24939,16.8859,16.48256,0.1226221
20.29762,18.70003,17.63444,17.11775,16.72854,0.1828813
22.94113,21.79474,20.47843,19.25839,18.88385,0.6791561
25.14311,22.32966,21.06593,20.05793,19.69366,0.4886564
20.19108,18.12336,16.78304,16.20603,15.78033,0.1593094
24.34994,22.38756,20.95479,19.6273,19.0123,0.8087612
23.02815,22.20726,20.68387,19.55983,19.09237,0.5578192
25.71026,19.37232,17.90718,17.34825,17.09281,0.2130303
23.8451,22.49116,20.61693,19.50969,19.02504,0.5903633
21.54929,19.3798,17.96845,17.43249,16.99396,0.2127296
18.86694,16.89172,15.9012,15.47136,15.10452,0.08704937
25.99244,21.8652,20.24811,19.41587,18.8545,0.5573665
19.52953,17.4015,16.41828,15.9281,15.54064,0.05899673
18.16746,16.84846,16.2298,15.82586,15.54955,0.05352432
23.72254,22.9748,20.93558,19.76705,19.18761,0.6425999
20.48706,18.90289,17.79595,17.33059,16.99898,0.2316139
22.71693,22.47279,20.57026,19.4511,19.01336,0.6337785
19.50972,18.36381,17.8925,17.5799,17.44651,0.1074706
19.66617,18.46032,18.04557,17.72231,17.5884,0.06096138
23.67086,22.07536,20.27381,19.44309,18.82177,0.4783263
24.63451,23.6562,21.48066,20.47967,20.03772,0.5236138
19.88251,17.82724,16.74535,16.26693,15.90477,0.1266894
19.62545,18.18049,17.39317,16.98569,16.65924,0.07636304
19.26072,17.97265,17.27236,16.8894,16.6526,0.1032497
19.98079,18.03731,17.0778,16.64716,16.29061,0.09004945
23.20408,21.06101,19.83097,19.02688,18.59126,0.5235062
22.79253,20.7246,18.97918,18.2696,17.82165,0.4130451
18.89173,16.86748,15.95955,15.52783,15.19633,0.05263862
25.9491,21.76402,20.15123,19.2576,18.70422,0.4584496
21.95897,20.4278,18.73429,18.11562,17.7474,0.330729
25.45757,21.51466,19.57522,18.80284,18.30875,0.452852
23.17808,21.67538,20.21771,19.45754,18.91424,0.4732902
24.55772,21.29317,20.4531,19.41887,18.95479,0.4499865
20.78781,18.81384,17.74727,17.3206,16.95881,0.1230656
22.75822,21.47144,19.57037,18.88848,18.46787,0.3859267
19.98147,18.48709,17.64974,17.26988,16.9702,0.1246892
24.346,22.36235,20.7037,19.6894,19.39544,0.5055885
25.50976,21.57665,20.16142,19.26838,18.79314,0.5998926
24.5783,22.37471,20.84226,19.58494,18.96641,0.6340035
24.79452,22.0654,20.40176,19.44597,19.00089,0.5026799
19.31188,17.8168,17.10814,16.75123,16.47878,0.1305486
23.54196,22.95643,21.1214,19.95021,19.50434,0.560912
25.12859,22.23681,20.33765,19.40303,19.1361,0.511146
24.50739,22.69879,20.44545,19.55597,19.10962,0.4784946
19.15195,17.94258,17.30023,16.91934,16.62581,0.09483168
23.7023,23.20723,20.81284,19.7403,19.09693,0.6365224
18.8722,17.52619,17.07585,16.88231,16.78888,0.01786385
22.86545,20.96319,19.27267,18.57626,18.22807,0.3469219
19.58852,18.27225,17.641,17.26272,17.06217,0.1245439
21.91397,21.84395,20.67572,19.82329,19.55978,0.491482
20.55415,18.63515,17.47382,16.9844,16.61977,0.1554699
25.87277,22.85929,21.1774,20.09336,19.44121,0.7347714
24.5519,22.42184,20.92916,19.84612,19.55166,0.5148382
23.99743,20.51815,18.80651,18.1634,17.75747,0.3219294
20.62036,18.64897,17.57505,17.01331,16.60016,0.1242367
25.32393,22.29357,20.75958,19.76942,19.08458,0.5013509
20.20549,18.54008,17.47727,17.00866,16.68317,0.1493856
20.07549,19.18799,18.85612,18.53633,18.47965,0.08693908
25.22575,21.72572,19.84981,18.96999,18.53829,0.466567
25.29964,22.14296,20.31272,19.4953,18.97765,0.4877634
20.72442,18.59656,17.4618,17.02094,16.63685,0.1403735
21.23169,20.49996,19.50064,19.11764,18.83039,0.2230291
25.20812,22.08029,20.1893,19.33491,18.83178,0.4486277
23.83504,22.18416,20.40055,19.2612,18.7224,0.5810351
25.41252,21.98217,20.43256,19.6713,19.1373,0.5509844
24.54097,21.94024,20.2419,19.15179,18.72683,0.6110501
22.78077,21.54478,20.11152,19.11481,18.70775,0.4895739
23.74236,20.79147,19.11701,18.28714,17.81655,0.4645058
23.31586,22.91316,20.56187,20.43759,20.31595,0.01811974
22.08126,21.17114,19.27708,18.26394,17.8074,0.5156041
26.13477,22.14583,21.03421,19.6572,19.12427,0.5969722
24.00005,22.13476,20.52223,19.22956,18.98962,0.5440168
22.365,21.26546,19.58805,18.93595,18.68947,0.3206727
18.52936,17.7419,17.41445,17.26286,17.20387,0.01382665
18.85399,17.44323,16.78887,16.39801,16.13158,0.0775177
19.43084,17.71259,16.76803,16.22858,15.77959,0.05208707
18.39317,17.28114,16.81574,16.47314,16.32967,0.08500416
22.02382,21.36206,20.14312,19.41117,18.81928,0.5540471
19.90203,18.46016,17.64675,17.19508,16.8629,0.1295223
19.32801,17.38264,16.36317,15.91777,15.55646,0.1083905
23.83202,22.28831,20.61751,19.62272,19.18053,0.5035996
26.32851,21.80323,20.09432,19.12502,18.56309,0.5232755
19.54133,17.65355,16.74457,16.36646,16.05812,0.09629201
24.5987,22.96247,21.34656,20.01489,19.36731,0.6695341
23.65027,23.03184,21.44938,20.45118,20.53066,0.4811812
25.84968,22.32915,20.75392,19.77522,19.20425,0.561511
24.24165,21.33228,19.61139,18.6854,18.13367,0.482764
21.3396,20.66292,20.01312,19.60274,19.41456,0.1959593
23.68229,22.59457,21.10485,19.92509,19.53869,0.5596636
22.05337,22.07075,20.51379,19.60051,19.42513,0.5316428
20.34606,18.47644,17.45641,17.04757,16.73219,0.1250942
19.0283,17.84319,17.37463,17.08003,16.94883,0.04701209
